Agency,General Type,Granular Type,Latitude,Longitude,County,"June 30, 2016 Accrued Liability (AL)","June 30, 2016 Market Value of Assets (MVA)","June 30, 2016 Unfunded Accrued Liability (UAL)",2017-18 Estimated Total Employer Contribution,2018-19 Estimated Total Employer Contribution,2019-20 Estimated Total Employer Contribution,2020-21 Estimated Total Employer Contribution,2021-22 Estimated Total Employer Contribution,2022-23 Estimated Total Employer Contribution,2023-24 Estimated Total Employer Contribution,2024-25 Estimated Total Employer Contribution,,Best 2019-20 Estimated Total Employer Contribution,Best 2020-21 Estimated Total Employer Contribution,Best 2021-22 Estimated Total Employer Contribution,Best 2022-23 Estimated Total Employer Contribution,,Worst 2019-20 Estimated Total Employer Contribution,Worst 2020-21 Estimated Total Employer Contribution,Worst 2021-22 Estimated Total Employer Contribution,Worst 2022-23 Estimated Total Employer Contribution
SEWERAGE COMMISSION-OROVILLE REGION,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"51,19,318","32,87,811","18,31,507","1,86,259","2,09,201","2,34,599","2,57,180","2,78,754","2,98,407","3,14,145","3,27,953",,"2,34,599","2,52,177","2,67,109","2,73,920",,"2,34,599","2,62,183","2,94,767","3,31,427"
SHAFTER WASCO IRRIGATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,IRRIGATION DISTRICT,0,0,0,"65,09,696","48,92,844","16,16,852","1,26,148","1,48,016","1,76,847","2,02,824","2,28,127","2,50,506","2,65,265","2,78,743",,"1,76,847","1,94,804","2,09,376","2,08,728",,"1,76,847","2,10,844","2,52,187","2,99,606"
SHASTA AREA SAFETY COMMUNICATIONS AGENCY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"95,46,398","70,09,288","25,37,110","3,41,109","3,69,795","4,19,374","4,72,488","5,16,523","5,54,657","5,12,857","5,36,978",,"4,19,374","4,62,228","4,93,136","5,10,579",,"4,19,374","4,84,758","5,51,313","6,25,257"
SHASTA COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"9,73,475","8,71,383","1,02,092","18,405","21,963","24,909","29,785","33,194","36,932","38,162","40,922",,"24,909","30,065","24,042","26,269",,"24,909","31,305","37,244","45,032"
SHASTA LAKE FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,0,0,0,"45,87,276","33,04,255","12,83,021","1,65,352","1,65,562","1,43,223","1,63,684","1,82,189","1,98,658","2,09,991","2,20,492",,"1,43,223","1,58,584","1,70,599","1,74,278",,"1,43,223","1,68,884","1,98,489","2,30,258"
SHASTA LOCAL AGENCY FORMATION COMMISSION,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"83,007","33,602","49,405","4,285","4,652","5,000","5,200","5,500","5,700","5,800","5,900",,"5,000","5,200","5,200","5,100",,"5,000","5,300","5,700","6,100"
SHASTA MOSQUITO AND VECTOR CONTROL DISTRICT,SPECIAL DISTRICT/AUTHORITY,VECTOR CONTROL DISTRICT,0,0,0,"78,80,853","56,50,429","22,30,424","2,28,245","2,64,939","3,01,104","3,35,969","3,69,955","3,22,943","3,41,935","3,58,935",,"3,01,104","3,27,839","3,46,261","2,78,142",,"3,01,104","3,46,069","3,97,355","3,78,743"
SHASTA REGIONAL TRANSPORTATION AGENCY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"5,11,465","4,76,575","34,890","57,310","69,410","75,110","85,032","89,239","93,618","95,511","99,071",,"75,110","84,232","87,977","94,270",,"75,110","85,832","91,639","97,918"
SHASTA VALLEY CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,0,0,0,"5,83,023","5,26,675","56,348","7,778","9,023","10,646","13,103","14,973","16,952","18,238","19,233",,"10,646","12,303","9,906","10,854",,"10,646","14,003","17,573","22,552"
SHILOH PUBLIC CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,0,0,0,"4,68,881","3,49,266","1,19,615","22,813","22,199","22,708","26,455","27,773","29,276","30,795","32,329",,"22,708","25,255","26,873","28,212",,"22,708","27,585","30,363","33,846"
SIERRA LAKES COUNTY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,0,0,0,"18,88,714","13,90,734","4,97,980","43,362","51,788","59,745","68,300","74,643","67,203","70,779","75,372",,"59,745","65,860","68,758","55,555",,"59,745","70,800","82,093","81,633"
SIERRA-SACRAMENTO VALLEY EMERGENCY MEDICAL SERVICES AGENCY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"43,67,918","32,50,596","11,17,322","1,33,249","1,38,654","1,59,161","1,81,033","1,99,231","2,15,610","2,26,883","2,38,111",,"1,59,161","1,75,853","1,87,930","1,91,257",,"1,59,161","1,86,133","2,15,831","2,48,610"
SILICON VALLEY ANIMAL CONTROL AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"28,63,138","22,74,539","5,88,599","1,21,831","1,34,450","1,51,333","1,73,305","1,88,140","2,01,090","2,11,159","2,20,358",,"1,51,333","1,72,061","1,84,440","1,95,527",,"1,51,333","1,77,315","1,99,169","2,24,150"
SILICON VALLEY CLEAN WATER,,,0,0,0,"5,59,45,283","4,26,13,324","1,33,31,959","14,09,896","16,82,723","19,60,901","22,51,427","24,88,722","27,00,287","28,53,856","29,89,461",,"19,60,901","21,84,227","23,46,514","24,08,673",,"19,60,901","23,22,627","27,01,322","31,26,487"
SILVEYVILLE CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,0,0,0,"9,89,856","7,47,128","2,42,728","21,564","30,773","35,255","41,192","43,076","46,679","49,299","51,938",,"35,255","39,432","41,235","42,142",,"35,255","40,531","47,167","54,829"
SOLANO COUNTY MOSQUITO ABATEMENT DISTRICT,SPECIAL DISTRICT/AUTHORITY,VECTOR CONTROL DISTRICT,0,0,SOLANO COUNTY,"86,12,912","64,25,845","21,87,067","2,53,020","2,00,732","2,38,194","2,73,964","3,05,285","3,34,294","3,55,392","3,72,584",,"2,38,194","2,64,364","2,82,024","2,87,152",,"2,38,194","2,82,400","3,34,366","3,93,434"
SOLANO COUNTY WATER AGENCY,SPECIAL DISTRICT/AUTHORITY,,0,0,SOLANO COUNTY,"54,78,564","43,01,962","11,76,602","1,70,385","2,20,856","2,50,330","2,56,630","2,81,865","3,04,252","3,20,056","3,34,723",,"2,50,330","2,50,620","2,70,165","2,82,137",,"2,50,330","2,64,650","3,02,905","3,47,352"
SOLANO IRRIGATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,IRRIGATION DISTRICT,0,0,0,"5,46,67,450","3,87,65,883","1,59,01,567","15,88,055","17,79,456","20,27,731","22,77,553","22,77,700","24,72,704","26,16,188","27,41,275",,"20,27,731","22,17,053","21,33,724","21,70,497",,"20,27,731","23,41,753","24,70,400","28,62,004"
SOLANO TRANSPORTATION AUTHORITY,SPECIAL DISTRICT/AUTHORITY,TRANSPORTATION DISTRICT/AUTHORITY,0,0,0,"60,55,366","46,74,702","13,80,664","2,30,736","2,53,770","2,63,140","3,02,192","3,30,693","3,56,370","3,75,031","3,91,778",,"2,63,140","2,94,992","3,18,299","3,33,412",,"2,63,140","3,10,392","3,53,193","4,02,370"
SOLEDAD COMMUNITY HEALTH CARE DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"59,933","68,497","-8,564",0,0,0,0,0,0,0,0,,0,0,0,0,,0,840,150,440
SONOMA COUNTY LIBRARY,,,0,0,SONOMA COUNTY,"6,20,55,607","4,79,55,702","1,40,99,905","16,80,042","19,28,707","22,09,114","24,77,612","27,15,081","29,14,643","30,69,332","32,07,182",,"22,09,114","24,04,612","25,39,428","25,64,623",,"22,09,114","25,55,612","29,45,081","33,75,643"
SONOMA MARIN AREA RAIL TRANSIT DISTRICT,SPECIAL DISTRICT/AUTHORITY,TRANSPORTATION DISTRICT/AUTHORITY,0,0,0,"46,34,027","37,13,962","9,20,065","3,89,068","7,21,941","7,68,007","8,55,083","9,01,367","9,44,628","9,83,587","9,79,264",,"7,68,007","8,48,983","9,14,313","9,76,108",,"7,68,007","8,61,283","9,18,367","9,81,628"
"SONOMA STATE ENTERPRISES, INC.",,,0,0,0,"35,71,226","37,94,284","-2,23,058",0,0,0,0,0,0,0,0,,0,0,0,0,,0,"31,000","39,000","55,000"
SONOMA STUDENT UNION CORPORATION,,,0,0,0,"28,77,380","18,68,828","10,08,552","81,606","92,673","1,05,000","1,12,000","1,22,000","1,29,000","95,000","97,000",,"1,05,000","1,08,000","1,09,000","1,03,000",,"1,05,000","1,16,000","1,35,000","1,55,000"
SOQUEL CREEK WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,0,0,0,"2,82,25,048","2,06,92,484","75,32,564","7,10,708","8,42,330","9,58,791","10,84,116","11,92,551","12,90,697","13,56,068","14,20,576",,"9,58,791","10,50,716","10,83,395","11,14,350",,"9,58,791","11,17,416","12,95,551","14,98,697"
SOUTH BAY REGIONAL PUBLIC COMMUNICATIONS AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"2,73,96,125","2,08,92,885","65,03,240","6,95,645","8,07,857","9,43,046","10,82,175","11,97,830","13,00,994","13,76,082","14,41,510",,"9,43,046","10,49,675","11,25,745","11,57,232",,"9,43,046","11,16,575","13,02,230","15,10,794"
SOUTH CENTRAL LOS ANGELES REGIONAL CENTER FOR DEVELOPMENTALLY DISABLED PERSONS,,,0,0,0,"6,73,77,718","5,21,97,778","1,51,79,940","23,05,186","25,92,786","29,29,831","33,40,602","36,39,390","39,27,672","41,42,492","43,33,897",,"29,29,831","32,54,602","34,89,562","19,99,986",,"29,29,831","34,30,602","39,12,390","44,81,672"
SOUTH COAST WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,0,0,0,"4,94,51,924","3,68,98,682","1,25,53,242","11,63,834","10,08,584","12,17,348","14,43,759","16,35,823","18,02,947","19,20,856","20,20,571",,"12,17,348","13,85,159","15,01,654","9,98,248",,"12,17,348","15,05,459","18,18,823","21,72,947"
SOUTH COUNTY SUPPORT SERVICES AGENCY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"17,13,908","13,94,613","3,19,295","1,07,397","98,226","1,09,681","1,24,816","1,34,402","1,44,077","1,50,603","1,57,193",,"1,09,681","1,22,696","1,34,683","1,17,924",,"1,09,681","1,27,966","1,41,852","1,57,977"
SOUTH FEATHER WATER AND POWER AGENCY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"2,32,08,568","1,85,51,506","46,57,062","8,72,124","9,57,904","10,83,104","12,46,588","13,54,648","14,55,191","15,29,338","15,96,216",,"10,83,104","12,17,388","13,12,583","13,73,978",,"10,83,104","12,76,788","14,47,248","16,40,391"
SOUTH KERN CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,0,0,0,"4,40,049","3,42,150","97,899","14,746","20,609","22,234","25,081","26,943","29,130","30,171","30,759",,"22,234","24,551","26,469","26,795",,"22,234","25,601","28,613","32,280"
SOUTH ORANGE COUNTY WASTEWATER AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"4,60,99,932","3,32,32,485","1,28,67,447","11,61,871","13,34,590","15,41,007","17,44,378","19,29,849","20,95,054","22,16,014","23,22,047",,"15,41,007","16,92,378","18,01,011","18,36,753",,"15,41,007","17,99,478","20,94,949","24,28,554"
SOUTH PLACER FIRE DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"4,47,67,561","3,69,64,897","78,02,664","8,94,307","10,53,718","12,67,033","14,93,375","16,79,794","18,41,900","19,52,176","20,49,466",,"12,67,033","14,36,175","15,49,605","10,28,963",,"12,67,033","15,52,575","18,59,494","22,01,300"
SOUTH PLACER MUNICIPAL UTILITY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"1,65,06,928","1,19,65,972","45,40,956","3,99,161","4,58,682","5,30,597","6,01,115","6,67,469","7,26,334","7,68,917","8,06,324",,"5,30,597","5,82,615","6,20,300","6,28,879",,"5,30,597","6,21,515","7,26,769","8,46,834"
SOUTH SAN JOAQUIN IRRIGATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,IRRIGATION DISTRICT,0,0,0,"4,13,24,433","2,91,22,124","1,22,02,309","14,92,856","16,76,427","18,88,949","21,19,615","23,03,035","24,71,241","25,99,160","23,96,917",,"18,88,949","20,73,415","22,20,732","22,95,965",,"18,88,949","21,67,815","24,48,635","27,63,441"
SOUTH SAN LUIS OBISPO COUNTY SANITATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"39,96,273","28,68,849","11,27,424","1,01,089","1,23,143","1,40,440","1,58,514","1,75,254","1,90,056","2,00,721","2,10,250",,"1,40,440","1,54,314","1,63,995","1,66,633",,"1,40,440","1,63,714","1,89,854","2,19,156"
SOUTH TAHOE PUBLIC UTILITY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"3,76,37,461","2,78,66,214","97,71,247","15,29,603","17,22,771","19,35,756","21,95,939","23,76,093","25,41,367","26,67,597","27,81,821",,"19,35,756","21,51,639","23,18,085","24,25,472",,"19,35,756","22,42,239","25,14,993","28,20,167"
SOUTHEAST AREA SOCIAL SERVICES FUNDING AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"73,88,979","51,88,815","22,00,164","3,16,088","3,24,149","3,63,299","4,05,106","4,39,951","4,15,970","4,37,870","4,57,756",,"3,63,299","3,97,896","4,25,014","3,85,269",,"3,63,299","4,14,426","4,65,851","4,67,570"
SOUTHERN CALIFORNIA ASSOCIATION OF GOVERNMENTS,ASSOCIATION OF GOVERNMENTS,,0,0,0,"11,79,61,929","7,71,41,495","4,08,20,434","30,99,376","35,97,002","42,28,345","48,08,110","53,27,394","57,80,095","60,83,258","63,54,926",,"42,28,345","46,91,110","50,61,012","52,22,909",,"42,28,345","49,31,110","56,93,394","65,11,095"
SOUTHERN CALIFORNIA LIBRARY COOPERATIVE,,,0,0,0,"56,97,174","41,85,493","15,11,681","91,318","1,11,954","1,34,890","1,53,464","1,74,992","1,93,551","2,06,042","2,17,365",,"1,34,890","1,47,364","1,55,082","1,52,860",,"1,34,890","1,60,664","1,95,492","2,35,451"
SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"57,32,615","43,09,613","14,23,002","2,78,290","3,25,523","3,60,208","4,02,939","4,33,296","4,60,892","4,42,234","4,61,729",,"3,60,208","3,95,539","4,26,159","4,43,276",,"3,60,208","4,09,339","4,54,396","5,04,192"
SOUTHERN CALIFORNIA REGIONAL RAIL AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"6,13,84,177","4,97,75,780","1,16,08,397","22,49,605","25,31,314","28,57,867","32,86,568","35,71,625","38,30,724","40,36,925","42,10,293",,"28,57,867","32,03,568","34,42,011","26,97,646",,"28,57,867","33,73,568","38,36,625","43,69,724"
SOUTHERN SAN JOAQUIN MUNICIPAL UTILITY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"95,06,205","67,28,818","27,77,387","2,88,380","3,25,903","3,68,009","4,09,612","4,49,471","3,87,445","4,11,538","4,31,754",,"3,68,009","3,99,612","4,23,314","3,34,603",,"3,68,009","4,20,612","4,82,471","4,55,445"
SOUTHERN SONOMA COUNTY RESOURCE CONSERVATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"6,41,417","2,76,798","3,64,619","51,801","7,582","9,600","11,000","13,000","14,000","15,000","16,000",,"9,600","11,000","11,000","11,000",,"9,600","12,000","15,000","18,000"
SOUTHWEST TRANSPORTATION AGENCY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"1,07,01,393","69,76,961","37,24,432","4,31,419","4,64,237","5,17,146","5,71,241","6,17,876","6,60,724","6,94,612","7,24,585",,"5,17,146","5,60,151","5,94,055","6,12,698",,"5,17,146","5,82,351","6,52,186","7,31,334"
SPECIAL DISTRICT RISK MANAGEMENT AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"59,01,129","52,69,857","6,31,272","1,28,983","1,61,525","1,80,875","2,12,643","2,34,328","2,57,262","2,73,049","2,86,896",,"1,80,875","2,04,543","1,81,563","1,98,184",,"1,80,875","2,21,743","2,60,728","3,10,062"
SQUAW VALLEY PUBLIC SERVICE DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"2,07,18,044","1,51,84,772","55,33,272","6,66,823","7,70,603","8,78,873","9,94,138","10,85,630","11,67,666","12,27,810","12,82,878",,"8,78,873","9,71,448","10,41,671","10,76,200",,"8,78,873","10,18,788","11,59,730","13,17,966"
STALLION SPRINGS COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"41,38,630","32,09,173","9,29,457","97,412","1,24,478","1,44,211","1,65,365","1,83,452","1,98,341","2,09,612","2,19,840",,"1,44,211","1,60,255","1,71,806","1,76,500",,"1,44,211","1,71,495","1,99,862","2,30,061"
STANISLAUS CONSOLIDATED FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,0,0,0,"4,52,46,077","3,31,63,841","1,20,82,236","17,03,165","19,50,544","22,13,644","25,10,244","27,24,295","29,15,643","30,64,259","31,97,308",,"22,13,644","24,59,104","26,49,885","27,69,383",,"22,13,644","25,64,384","28,84,625","32,38,523"
STANISLAUS COUNTY HOUSING AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,0,0,STANISLAUS COUNTY,"2,57,98,352","2,35,04,925","22,93,427","3,07,785","3,82,410","4,49,967","5,57,238","6,39,824","7,26,661","7,81,658","8,27,928",,"4,49,967","5,20,138","4,28,747","4,68,732",,"4,49,967","5,96,438","7,57,324","9,61,661"
STATE AND FEDERAL CONTRACTORS WATER AGENCY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"13,76,080","11,29,640","2,46,440","81,982","69,383","77,714","88,862","95,012","1,01,222","1,05,656","1,09,954",,"77,714","87,842","93,464","79,920",,"77,714","90,892","1,01,122","1,13,422"
STATE BAR OF CALIFORNIA,,,0,0,0,"34,73,33,893","27,72,40,403","7,00,93,490","63,42,200","81,07,383","99,18,029","1,17,86,953","1,33,38,402","1,45,97,624","1,54,69,793","1,62,31,087",,"99,18,029","1,13,53,953","1,23,36,370","1,26,01,563",,"99,18,029","1,22,40,953","1,47,01,402","1,73,36,624"
STATE WATER CONTRACTORS,,,0,0,0,"66,30,721","47,56,593","18,74,128","2,85,079","3,16,404","3,52,677","2,78,441","3,06,311","3,31,320","3,47,673","3,63,896",,"3,52,677","2,70,441","2,90,791","3,00,383",,"3,52,677","2,85,541","3,29,511","3,78,720"
STEGE SANITARY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,CONTRA COSTA COUNTY,"59,35,285","43,48,292","15,86,993","1,77,422","2,05,581","2,34,590","2,63,994","2,88,719","2,62,041","2,77,462","2,90,986",,"2,34,590","2,57,084","2,72,748","2,31,538",,"2,34,590","2,70,534","3,09,813","3,06,201"
STINSON BEACH COUNTY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,0,0,0,"46,67,731","31,80,374","14,87,357","1,89,423","2,11,498","2,34,832","2,59,773","2,80,967","3,00,313","2,44,654","2,55,191",,"2,34,832","2,54,703","2,70,806","2,78,563",,"2,34,832","2,64,813","2,97,167","3,32,713"
STOCKTON EAST WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,0,0,0,"2,27,68,830","1,62,77,559","64,91,271","6,23,232","7,47,529","8,57,143","9,64,277","10,59,806","11,44,607","12,08,592","12,63,773",,"8,57,143","9,38,077","9,98,599","10,21,370",,"8,57,143","9,90,477","11,40,506","13,08,107"
STOCKTON UNIFIED SCHOOL DISTRICT,SCHOOL DISTRICT,,0,0,0,"74,86,115","50,08,730","24,77,385","4,75,797","6,10,744","6,64,265","7,35,492","7,80,362","8,23,663","8,59,408","8,93,110",,"6,64,265","7,28,092","7,79,965","8,21,989",,"6,64,265","7,43,992","8,04,662","8,72,163"
STRAWBERRY RECREATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,PARK OR RECREATION DISTRICT,0,0,0,"9,87,166","8,22,719","1,64,447","26,544","37,182","42,921","49,597","53,762","57,938","60,486","63,707",,"42,921","47,577","51,703","42,124",,"42,921","50,617","57,812","66,038"
"STUDENT UNION, SAN BERNARDINO, CALIFORNIA STATE UNIVERSITY",,,0,0,0,"43,16,953","31,89,269","11,27,684","1,62,745","1,82,779","2,05,294","2,29,840","1,93,749","2,10,060","2,21,416","2,31,850",,"2,05,294","2,24,800","1,83,616","1,90,920",,"2,05,294","2,34,870","2,08,859","2,41,270"
SUCCESSOR AGENCY TO THE REDEVELOPMENT AGENCY OF THE CITY OF FRESNO,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"20,85,887","16,19,218","4,66,669","34,980","43,220","51,151","59,909","66,772","73,455","78,159","82,883",,"51,151","56,349","59,977","60,166",,"51,151","62,509","75,322","90,985"
SUCCESSOR AGENCY TO THE REDEVELOPMENT AGENCY OF THE CITY OF SAN BERNARDINO,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"1,99,54,406","1,38,46,107","61,08,299",0,"4,26,157","4,40,192","4,96,900","5,67,407","6,28,929","6,71,467","7,08,021",,"4,40,192","4,74,900","4,97,374","4,87,032",,"4,40,192","5,19,900","6,36,407","7,67,929"
SUCCESSOR AGENCY TO THE REDEVELOPMENT AGY OF THE CITY & COUNTY OF SAN FRANCISCO,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"10,32,87,254","7,69,71,393","2,63,15,861",0,"17,81,264","22,10,584","25,39,335","29,21,037","32,49,231","34,70,032","36,60,355",,"22,10,584","24,18,035","25,67,083","25,23,356",,"22,10,584","26,67,535","33,03,837","40,18,831"
SUISUN FAIRFIELD ROCKVILLE CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,0,0,0,"27,77,505","25,32,154","2,45,351","72,884","78,674","89,989","1,06,710","1,18,324","1,29,015","1,36,792","1,43,650",,"89,989","1,02,708","93,143","1,01,071",,"89,989","1,10,711","1,31,329","1,55,025"
SUISUN FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,0,0,0,"1,02,153","11,300","90,853","12,802","14,584","16,299","18,054","19,083","19,822","20,670","21,429",,"16,299","18,054","19,517","20,827",,"16,299","18,054","19,083","20,022"
SUISUN RESOURCE CONSERVATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"15,61,744","12,18,661","3,43,083","52,428","67,549","74,690","85,910","80,098","86,631","91,210","95,836",,"74,690","82,840","77,001","81,142",,"74,690","86,647","86,188","98,791"
SUMMIT CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,0,0,0,"44,41,612","30,06,193","14,35,419","1,57,286","1,78,133","1,98,933","2,21,438","2,39,538","2,04,804","2,16,138","2,26,543",,"1,98,933","2,15,528","2,28,427","1,83,296",,"1,98,933","2,27,338","2,55,398","2,35,634"
SUNNYSLOPE COUNTY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,0,0,0,"1,04,65,578","76,56,923","28,08,655","3,08,695","2,18,733","2,55,551","3,09,862","3,50,041","3,86,339","4,10,133","4,31,879",,"2,55,551","2,97,842","3,27,297","2,76,009",,"2,55,551","3,22,892","3,88,041","4,62,539"
SUSANVILLE SANITARY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"33,02,409","22,79,528","10,22,881","1,34,334","1,51,748","1,12,186","1,27,960","1,40,227","1,51,943","1,60,712","1,68,533",,"1,12,186","1,23,640","1,31,482","1,36,164",,"1,12,186","1,30,602","1,51,327","1,75,133"
SUTTER CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,0,0,0,"23,61,410","19,13,395","4,48,015","57,418","70,857","83,062","97,159","1,07,144","1,17,196","1,22,678","1,28,810",,"83,062","94,139","1,02,575","75,606",,"83,062","1,00,179","1,17,214","1,36,326"
SWEETWATER AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"11,08,36,359","6,82,10,316","4,26,26,043","35,68,874","39,81,218","45,16,653","50,32,002","55,10,522","59,37,288","62,49,337","60,52,707",,"45,16,653","49,24,002","52,51,321","54,11,813",,"45,16,653","51,44,002","58,49,522","66,20,288"
SWEETWATER SPRINGS WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,0,0,0,"42,08,453","32,41,637","9,66,816","1,03,176","1,25,727","1,44,624","1,66,799","1,82,171","1,98,026","2,09,967","2,19,996",,"1,44,624","1,60,739","1,71,655","1,78,301",,"1,44,624","1,71,437","1,98,263","2,31,186"
SYLVAN CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,0,0,0,"18,16,662","13,80,803","4,35,859","34,865","42,855","51,353","58,927","66,585","72,263","76,961","80,680",,"51,353","56,927","61,125","61,435",,"51,353","60,927","73,585","86,263"
TAHOE CITY PUBLIC UTILITY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"3,55,78,684","2,50,95,014","1,04,83,670","9,45,022","10,93,761","12,58,710","14,18,321","15,64,273","16,93,739","17,89,535","18,72,677",,"12,58,710","13,79,221","14,69,297","15,00,357",,"12,58,710","14,60,421","16,88,673","19,45,539"
TAHOE RESOURCE CONSERVATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"15,52,124","12,23,549","3,28,575","1,01,964","1,00,997","1,11,752","1,24,970","1,33,532","1,42,279","1,48,814","1,55,440",,"1,11,752","1,22,770","1,32,261","1,39,946",,"1,11,752","1,27,070","1,40,032","1,54,179"
TAHOE-TRUCKEE SANITATION AGENCY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"5,32,56,327","3,80,83,713","1,51,72,614","12,97,977","14,77,101","17,08,160","19,31,538","21,43,491","23,31,982","24,67,029","25,85,653",,"17,08,160","18,71,538","19,90,413","20,22,458",,"17,08,160","19,94,638","23,32,691","27,13,482"
TEHACHAPI VALLEY RECREATION AND PARK DISTRICT,SPECIAL DISTRICT/AUTHORITY,PARK OR RECREATION DISTRICT,0,0,0,"15,53,951","13,29,911","2,24,040","35,919","38,458","42,988","49,954","56,377","61,827","66,206","69,414",,"42,988","47,854","51,147","36,797",,"42,988","52,154","62,777","75,627"
TEHACHAPI-CUMMINGS COUNTY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,0,0,0,"1,05,81,030","81,52,912","24,28,118","1,98,796","2,60,820","3,10,572","3,58,893","3,99,466","4,37,182","4,63,845","4,86,460",,"3,10,572","3,45,693","3,67,703","3,71,696",,"3,10,572","3,72,193","4,40,166","5,18,682"
TEHAMA COUNTY MOSQUITO ABATEMENT DISTRICT,SPECIAL DISTRICT/AUTHORITY,VECTOR CONTROL DISTRICT,0,0,TEHAMA COUNTY,"20,12,454","15,76,646","4,35,808","40,966","49,360","59,314","68,213","77,210","84,236","89,293","93,382",,"59,314","66,213","71,542","73,041",,"59,314","71,213","85,210","1,00,236"
TEMESCAL VALLEY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,0,0,0,"7,74,732","6,90,167","84,565","52,535","56,330","58,699","68,705","72,235","76,720","80,661","83,661",,"58,699","66,405","73,620","73,548",,"58,699","68,646","75,935","83,900"
